iter	Passed	Remaining
0	29	29013
1	54	27197
2	64	21358
3	72	17981
4	97	19448
5	121	20144
6	151	21512
7	180	22353
8	201	22193
9	225	22281
10	238	21407
11	260	21409
12	281	21402
13	302	21302
14	326	21454
15	338	20840
16	360	20822
17	374	20407
18	393	20330
19	419	20543
20	443	20656
21	463	20602
22	482	20499
23	505	20573
24	526	20543
25	549	20568
26	572	20621
27	584	20293
28	606	20300
29	616	19924
30	639	20001
31	663	20059
32	690	20221
33	712	20233
34	723	19955
35	744	19923
36	768	20001
37	789	19982
38	798	19684
39	823	19769
40	845	19782
41	869	19837
42	893	19885
43	914	19879
44	941	19977
45	1022	21199
46	1057	21439
47	1079	21403
48	1094	21240
49	1116	21218
50	1137	21174
51	1160	21161
52	1183	21143
53	1204	21109
54	1228	21115
55	1251	21104
56	1263	20904
57	1284	20854
58	1308	20872
59	1332	20869
60	1353	20836
61	1383	20931
62	1404	20889
63	1428	20897
64	1449	20856
65	1470	20802
66	1491	20764
67	1503	20605
68	1528	20618
69	1551	20611
70	1559	20404
71	1582	20394
72	1602	20352
73	1622	20297
74	1643	20269
75	1666	20262
76	1687	20224
77	1712	20241
78	1728	20149
79	1753	20168
80	1773	20122
81	1794	20086
82	1817	20082
83	1840	20067
84	1852	19938
85	1874	19921
86	1897	19914
87	1919	19892
88	1944	19901
89	1951	19727
90	1973	19716
91	1985	19591
92	2004	19552
93	2025	19522
94	2043	19469
95	2066	19463
96	2087	19430
97	2107	19400
98	2118	19283
99	2140	19265
100	2158	19214
101	2177	19174
102	2200	19160
103	2222	19147
104	2243	19126
105	2265	19103
106	2284	19067
107	2304	19033
108	2327	19023
109	2335	18894
110	2358	18887
111	2378	18855
112	2400	18846
113	2423	18835
114	2448	18845
115	2470	18825
116	2491	18807
117	2499	18680
118	2506	18556
119	2530	18557
120	2553	18553
121	2578	18556
122	2599	18535
123	2619	18505
124	2630	18413
125	2653	18402
126	2674	18381
127	2697	18378
128	2719	18360
129	2730	18274
130	2752	18262
131	2774	18244
132	2795	18225
133	2817	18211
134	2841	18207
135	2863	18190
136	2887	18189
137	2904	18143
138	2923	18110
139	2945	18096
140	2963	18055
141	2988	18057
142	3010	18039
143	3029	18009
144	3052	17996
145	3075	17990
146	3083	17891
147	3106	17881
148	3126	17858
149	3147	17837
150	3167	17809
151	3193	17814
152	3214	17795
153	3238	17790
154	3258	17765
155	3274	17715
156	3296	17697
157	3315	17668
158	3326	17594
159	3344	17560
160	3360	17514
161	3382	17495
162	3403	17475
163	3423	17453
164	3447	17444
165	3469	17432
166	3492	17419
167	3513	17402
168	3536	17388
169	3559	17377
170	3579	17355
171	3605	17355
172	3626	17336
173	3645	17306
174	3667	17291
175	3689	17271
176	3710	17251
177	3733	17239
178	3753	17215
179	3773	17189
180	3793	17165
181	3813	17141
182	3834	17117
183	3844	17047
184	3864	17026
185	3886	17006
186	3907	16988
187	3930	16974
188	3949	16946
189	3967	16916
190	3988	16893
191	4008	16870
192	4030	16850
193	4051	16832
194	4071	16806
195	4081	16740
196	4092	16682
197	4112	16656
198	4119	16581
199	4139	16558
200	4161	16542
201	4183	16525
202	4201	16496
203	4223	16479
204	4242	16454
205	4263	16433
206	4278	16391
207	4285	16316
208	4306	16298
209	4327	16279
210	4352	16273
211	4374	16259
212	4393	16232
213	4416	16220
214	4437	16202
215	4459	16185
216	4482	16175
217	4504	16157
218	4526	16142
219	4549	16131
220	4571	16113
221	4580	16053
222	4601	16031
223	4621	16011
224	4631	15954
225	4654	15942
226	4676	15925
227	4699	15912
228	4720	15893
229	4740	15870
230	4748	15807
231	4757	15749
232	4769	15699
233	4777	15638
234	4802	15635
235	4823	15616
236	4846	15604
237	4869	15590
238	4892	15577
239	4914	15561
240	4936	15545
241	4956	15524
242	4966	15471
243	4986	15449
244	5009	15436
245	5030	15419
246	5041	15368
247	5061	15349
248	5083	15332
249	5104	15312
250	5127	15299
251	5149	15285
252	5170	15266
253	5190	15243
254	5215	15237
255	5235	15216
256	5258	15202
257	5280	15185
258	5301	15168
259	5308	15108
260	5321	15066
261	5344	15055
262	5365	15036
263	5387	15018
264	5407	14996
265	5415	14943
266	5436	14924
267	5452	14891
268	5459	14836
269	5481	14821
270	5492	14775
271	5514	14759
272	5527	14719
273	5552	14710
274	5573	14692
275	5592	14670
276	5604	14627
277	5615	14583
278	5626	14541
279	5648	14524
280	5674	14520
281	5693	14496
282	5714	14477
283	5733	14454
284	5757	14443
285	5778	14425
286	5800	14409
287	5819	14386
288	5840	14368
289	5859	14346
290	5876	14317
291	5898	14300
292	5908	14258
293	5916	14208
294	5931	14175
295	5953	14160
296	5963	14116
297	5984	14097
298	5992	14048
299	6014	14034
300	6037	14020
301	6059	14005
302	6077	13979
303	6096	13958
304	6118	13942
305	6141	13928
306	6153	13889
307	6164	13849
308	6182	13824
